delivery_id,delivery_status,delivery_time,rider_id
161,Completed,58 minutes,433
162,Pending,31 minutes,442
163,Completed,19 minutes,445
164,Cancelled,39 minutes,496
165,Pending,42 minutes,196
166,Cancelled,42 minutes,18
167,Cancelled,15 minutes,348
168,Cancelled,58 minutes,308
169,Completed,57 minutes,219
170,Completed,28 minutes,275
171,Cancelled,36 minutes,423
172,Pending,60 minutes,498
173,Pending,48 minutes,301
174,Completed,11 minutes,337
175,Completed,57 minutes,94
176,Pending,42 minutes,292
177,Pending,31 minutes,34
178,Pending,26 minutes,483
179,Pending,59 minutes,209
180,Pending,34 minutes,32
181,Completed,51 minutes,479
182,Completed,25 minutes,147
183,Cancelled,31 minutes,29
184,Completed,40 minutes,214
185,Completed,41 minutes,456
186,Cancelled,55 minutes,42
187,Cancelled,54 minutes,78
188,Pending,36 minutes,19
189,Cancelled,39 minutes,198
190,Pending,13 minutes,52
191,Pending,59 minutes,78
192,Completed,12 minutes,307
193,Cancelled,18 minutes,323
194,Pending,16 minutes,359
195,Cancelled,51 minutes,178
196,Completed,34 minutes,402
197,Pending,17 minutes,452
198,Completed,49 minutes,359
199,Pending,49 minutes,324
200,Pending,51 minutes,64
201,Cancelled,55 minutes,319
202,Pending,60 minutes,435
203,Completed,34 minutes,410
204,Pending,57 minutes,447
205,Cancelled,17 minutes,266
206,Completed,12 minutes,401
207,Pending,38 minutes,191
208,Completed,39 minutes,183
209,Cancelled,14 minutes,490
210,Completed,12 minutes,249
211,Pending,11 minutes,484
212,Cancelled,52 minutes,292
213,Cancelled,23 minutes,118
214,Completed,59 minutes,420
215,Cancelled,59 minutes,258
216,Cancelled,43 minutes,216
217,Cancelled,29 minutes,485
218,Completed,19 minutes,219
219,Cancelled,37 minutes,473
220,Completed,16 minutes,213
221,Completed,16 minutes,213
222,Completed,56 minutes,489
223,Completed,60 minutes,229
224,Pending,53 minutes,214
225,Completed,41 minutes,471
226,Pending,56 minutes,130
227,Completed,32 minutes,37
228,Completed,32 minutes,355
229,Completed,32 minutes,179
230,Completed,10 minutes,426
231,Completed,33 minutes,37
232,Cancelled,19 minutes,107
233,Completed,23 minutes,338
234,Cancelled,56 minutes,481
235,Completed,57 minutes,4
236,Pending,33 minutes,354
237,Completed,48 minutes,120
238,Completed,21 minutes,233
239,Completed,40 minutes,177
240,Cancelled,26 minutes,67
241,Completed,23 minutes,186
242,Pending,40 minutes,492
243,Pending,28 minutes,480
244,Cancelled,50 minutes,168
245,Completed,47 minutes,42
246,Completed,44 minutes,298
247,Pending,20 minutes,193
248,Completed,18 minutes,412
249,Completed,30 minutes,261
250,Completed,25 minutes,387
251,Completed,28 minutes,191
252,Pending,52 minutes,24
253,Completed,48 minutes,11
254,Pending,14 minutes,360
255,Completed,18 minutes,216
256,Pending,45 minutes,214
257,Cancelled,19 minutes,303
258,Pending,29 minutes,327
259,Pending,15 minutes,128
260,Pending,50 minutes,190
261,Cancelled,43 minutes,30
262,Pending,36 minutes,5
263,Pending,56 minutes,462
264,Pending,38 minutes,105
265,Pending,28 minutes,488
266,Pending,15 minutes,487
267,Completed,60 minutes,56
268,Pending,17 minutes,286
269,Cancelled,54 minutes,79
270,Cancelled,38 minutes,476
271,Pending,21 minutes,394
272,Pending,37 minutes,90
273,Completed,39 minutes,175
274,Cancelled,19 minutes,182
275,Pending,50 minutes,327
276,Completed,40 minutes,387
277,Completed,28 minutes,1
278,Cancelled,38 minutes,317
279,Pending,10 minutes,112
280,Pending,17 minutes,394
281,Cancelled,29 minutes,280
282,Cancelled,19 minutes,218
283,Cancelled,58 minutes,242
284,Completed,53 minutes,255
285,Completed,44 minutes,391
286,Pending,27 minutes,324
287,Completed,17 minutes,139
288,Cancelled,12 minutes,1
289,Pending,35 minutes,270
290,Cancelled,55 minutes,203
291,Pending,16 minutes,383
292,Pending,32 minutes,146
293,Cancelled,22 minutes,305
294,Completed,12 minutes,37
295,Pending,29 minutes,274
296,Pending,17 minutes,272
297,Completed,58 minutes,84
298,Completed,36 minutes,441
299,Pending,28 minutes,267
300,Completed,46 minutes,268
301,Cancelled,23 minutes,273
302,Completed,36 minutes,490
303,Cancelled,44 minutes,207
304,Cancelled,59 minutes,463
305,Pending,28 minutes,227
306,Pending,46 minutes,322
307,Completed,20 minutes,64
308,Cancelled,17 minutes,196
309,Pending,47 minutes,240
310,Completed,45 minutes,343
311,Pending,32 minutes,324
312,Pending,57 minutes,213
313,Completed,40 minutes,251
314,Cancelled,42 minutes,163
315,Pending,51 minutes,491
316,Completed,38 minutes,154
317,Completed,57 minutes,254
318,Completed,49 minutes,111
319,Completed,32 minutes,242
320,Pending,10 minutes,434
321,Cancelled,14 minutes,352
322,Completed,53 minutes,487
323,Cancelled,52 minutes,203
324,Completed,33 minutes,22
325,Completed,49 minutes,2
326,Pending,50 minutes,359
327,Pending,56 minutes,462
328,Completed,19 minutes,385
329,Cancelled,28 minutes,98
330,Completed,37 minutes,236
331,Cancelled,31 minutes,197
332,Completed,31 minutes,216
333,Cancelled,53 minutes,223
334,Completed,38 minutes,478
335,Cancelled,19 minutes,269
336,Pending,18 minutes,107
337,Completed,38 minutes,179
338,Pending,37 minutes,414
339,Pending,34 minutes,374
340,Completed,60 minutes,101
341,Pending,23 minutes,301
342,Cancelled,13 minutes,464
343,Pending,12 minutes,120
344,Cancelled,15 minutes,446
345,Completed,33 minutes,30
346,Cancelled,50 minutes,347
347,Completed,24 minutes,313
348,Pending,49 minutes,45
349,Cancelled,42 minutes,385
350,Pending,59 minutes,450
351,Pending,36 minutes,235
352,Completed,50 minutes,357
353,Cancelled,52 minutes,490
354,Cancelled,45 minutes,477
355,Cancelled,37 minutes,298
356,Pending,41 minutes,131
357,Cancelled,40 minutes,111
358,Pending,27 minutes,22
359,Completed,13 minutes,84
360,Pending,10 minutes,149
361,Cancelled,10 minutes,72
362,Completed,60 minutes,220
363,Cancelled,24 minutes,497
364,Cancelled,35 minutes,286
365,Completed,39 minutes,99
366,Pending,48 minutes,53
367,Cancelled,15 minutes,407
368,Pending,30 minutes,275
369,Pending,30 minutes,131
370,Completed,43 minutes,23
371,Completed,33 minutes,42
372,Completed,43 minutes,178
373,Completed,22 minutes,129
374,Cancelled,56 minutes,377
375,Pending,29 minutes,265
376,Pending,26 minutes,247
377,Pending,55 minutes,123
378,Completed,29 minutes,479
379,Cancelled,14 minutes,5
380,Pending,41 minutes,371
381,Pending,13 minutes,470
382,Pending,41 minutes,236
383,Pending,17 minutes,44
384,Completed,25 minutes,51
385,Completed,36 minutes,453
386,Completed,38 minutes,314
387,Completed,37 minutes,287
388,Pending,12 minutes,491
389,Completed,25 minutes,251
390,Completed,18 minutes,431
391,Pending,32 minutes,164
392,Pending,16 minutes,286
393,Pending,49 minutes,278
394,Completed,55 minutes,152
395,Pending,42 minutes,310
396,Pending,44 minutes,325
397,Pending,27 minutes,119
398,Completed,17 minutes,315
399,Cancelled,16 minutes,89
400,Cancelled,36 minutes,128
401,Completed,28 minutes,451
402,Cancelled,52 minutes,4
403,Cancelled,44 minutes,264
404,Pending,13 minutes,63
405,Pending,51 minutes,140
406,Completed,57 minutes,290
407,Pending,24 minutes,346
408,Cancelled,55 minutes,280
409,Cancelled,28 minutes,114
410,Cancelled,25 minutes,34
411,Cancelled,29 minutes,346
412,Pending,24 minutes,192
413,Cancelled,40 minutes,147
414,Cancelled,20 minutes,71
415,Completed,45 minutes,259
416,Pending,33 minutes,300
417,Cancelled,11 minutes,416
418,Completed,35 minutes,80
419,Completed,42 minutes,40
420,Completed,58 minutes,106
421,Pending,46 minutes,393
422,Cancelled,23 minutes,121
423,Cancelled,18 minutes,418
424,Completed,58 minutes,197
425,Pending,48 minutes,303
426,Completed,50 minutes,256
427,Completed,49 minutes,427
428,Completed,43 minutes,306
429,Pending,41 minutes,234
430,Pending,10 minutes,491
431,Completed,45 minutes,335
432,Completed,52 minutes,451
433,Pending,57 minutes,247
434,Cancelled,30 minutes,361
435,Completed,26 minutes,71
436,Cancelled,35 minutes,361
437,Completed,30 minutes,403
438,Pending,34 minutes,484
439,Completed,23 minutes,20
440,Pending,56 minutes,383
441,Completed,31 minutes,442
442,Pending,52 minutes,372
443,Cancelled,52 minutes,116
444,Pending,32 minutes,344
445,Completed,29 minutes,9
446,Pending,46 minutes,277
447,Completed,56 minutes,323
448,Completed,32 minutes,12
449,Pending,50 minutes,32
450,Completed,25 minutes,24
451,Completed,24 minutes,485
452,Cancelled,30 minutes,35
453,Completed,32 minutes,498
454,Cancelled,37 minutes,70
455,Completed,38 minutes,223
456,Completed,32 minutes,160
457,Completed,51 minutes,169
458,Cancelled,60 minutes,383
459,Pending,34 minutes,5
460,Pending,26 minutes,274
461,Cancelled,57 minutes,352
462,Cancelled,39 minutes,389
463,Completed,46 minutes,472
464,Completed,36 minutes,489
465,Pending,20 minutes,2
466,Cancelled,18 minutes,319
467,Cancelled,42 minutes,431
468,Cancelled,54 minutes,76
469,Completed,31 minutes,122
470,Completed,25 minutes,485
471,Completed,20 minutes,381
472,Cancelled,45 minutes,87
473,Cancelled,15 minutes,219
474,Cancelled,16 minutes,318
475,Cancelled,39 minutes,364
476,Completed,49 minutes,309
477,Completed,26 minutes,175
478,Cancelled,56 minutes,193
479,Completed,50 minutes,478
480,Completed,41 minutes,46
481,Pending,28 minutes,344
482,Completed,39 minutes,121
483,Cancelled,32 minutes,84
484,Cancelled,58 minutes,208
485,Pending,27 minutes,412
486,Pending,35 minutes,8
487,Pending,43 minutes,462
488,Pending,45 minutes,241
489,Completed,59 minutes,273
490,Cancelled,45 minutes,135
491,Cancelled,12 minutes,234
492,Pending,56 minutes,62
493,Pending,32 minutes,254
494,Completed,11 minutes,140
495,Cancelled,12 minutes,131
496,Cancelled,53 minutes,298
497,Cancelled,59 minutes,476
498,Pending,53 minutes,391
499,Completed,58 minutes,271
500,Cancelled,31 minutes,198
501,Pending,23 minutes,60
502,Cancelled,31 minutes,413
503,Completed,47 minutes,346
504,Cancelled,44 minutes,349
505,Pending,20 minutes,470
506,Completed,31 minutes,434
507,Cancelled,10 minutes,300
508,Completed,46 minutes,80
509,Pending,33 minutes,150
510,Cancelled,28 minutes,166
511,Pending,60 minutes,207
512,Cancelled,37 minutes,88
513,Completed,60 minutes,73
514,Cancelled,12 minutes,227
515,Completed,31 minutes,476
516,Completed,56 minutes,246
517,Cancelled,52 minutes,399
518,Pending,57 minutes,314
519,Completed,14 minutes,282
520,Pending,27 minutes,487
521,Completed,43 minutes,87
522,Completed,52 minutes,328
523,Completed,47 minutes,57
524,Cancelled,50 minutes,408
525,Cancelled,48 minutes,197
526,Pending,27 minutes,160
527,Pending,10 minutes,220
528,Cancelled,27 minutes,485
529,Pending,44 minutes,270
530,Cancelled,30 minutes,176
531,Completed,55 minutes,401
532,Pending,60 minutes,73
533,Completed,58 minutes,262
534,Completed,60 minutes,339
535,Cancelled,60 minutes,289
536,Pending,33 minutes,238
537,Completed,45 minutes,468
538,Pending,50 minutes,315
539,Completed,11 minutes,186
540,Cancelled,20 minutes,349
541,Completed,50 minutes,182
542,Cancelled,54 minutes,255
543,Completed,56 minutes,377
544,Completed,46 minutes,457
545,Completed,27 minutes,95
546,Pending,14 minutes,294
547,Pending,25 minutes,381
548,Cancelled,38 minutes,443
549,Cancelled,55 minutes,52
550,Completed,20 minutes,226
551,Completed,37 minutes,325
552,Pending,27 minutes,130
553,Pending,58 minutes,397
554,Pending,49 minutes,168
555,Completed,29 minutes,16
556,Pending,10 minutes,391
557,Pending,22 minutes,391
558,Pending,34 minutes,224
559,Cancelled,50 minutes,345
560,Pending,54 minutes,451
561,Completed,47 minutes,239
562,Pending,46 minutes,65
563,Cancelled,55 minutes,143
564,Pending,11 minutes,204
565,Pending,43 minutes,70
566,Completed,15 minutes,290
567,Pending,33 minutes,3
568,Completed,22 minutes,368
569,Completed,52 minutes,277
570,Pending,12 minutes,162
571,Completed,30 minutes,202
572,Completed,58 minutes,326
573,Pending,36 minutes,344
574,Completed,48 minutes,76
575,Pending,29 minutes,262
576,Completed,20 minutes,65
577,Completed,40 minutes,362
578,Cancelled,55 minutes,392
579,Cancelled,12 minutes,374
580,Cancelled,12 minutes,422
581,Cancelled,54 minutes,382
582,Cancelled,50 minutes,199
583,Completed,32 minutes,410
584,Cancelled,15 minutes,42
585,Cancelled,21 minutes,417
586,Pending,22 minutes,410
587,Pending,30 minutes,359
588,Cancelled,26 minutes,401
589,Pending,43 minutes,479
590,Pending,19 minutes,388
591,Pending,45 minutes,79
592,Completed,50 minutes,300
593,Completed,51 minutes,263
594,Completed,58 minutes,162
595,Completed,22 minutes,332
596,Pending,49 minutes,123
597,Pending,43 minutes,82
598,Cancelled,31 minutes,468
599,Cancelled,18 minutes,244
600,Cancelled,13 minutes,279
601,Completed,43 minutes,176
602,Completed,59 minutes,41
603,Completed,37 minutes,312
604,Pending,46 minutes,232
605,Pending,34 minutes,263
606,Pending,50 minutes,61
607,Completed,30 minutes,474
608,Completed,21 minutes,376
609,Completed,11 minutes,173
610,Cancelled,22 minutes,23
611,Pending,51 minutes,32
612,Cancelled,29 minutes,408
613,Pending,13 minutes,308
614,Cancelled,20 minutes,184
615,Completed,36 minutes,28
616,Pending,32 minutes,310
617,Cancelled,58 minutes,131
618,Cancelled,29 minutes,289
619,Pending,36 minutes,93
620,Completed,39 minutes,411
621,Pending,22 minutes,487
622,Pending,14 minutes,184
623,Completed,17 minutes,14
624,Pending,11 minutes,91
625,Pending,49 minutes,354
626,Cancelled,10 minutes,166
627,Pending,60 minutes,284
628,Cancelled,54 minutes,254
629,Pending,15 minutes,440
630,Completed,44 minutes,442
631,Pending,60 minutes,402
632,Pending,11 minutes,332
633,Cancelled,16 minutes,429
634,Completed,31 minutes,184
635,Completed,40 minutes,496
636,Completed,19 minutes,466
637,Cancelled,50 minutes,413
638,Pending,12 minutes,1
639,Pending,31 minutes,81
640,Cancelled,54 minutes,76
641,Completed,21 minutes,400
642,Completed,50 minutes,349
643,Completed,49 minutes,169
644,Completed,40 minutes,491
645,Cancelled,53 minutes,204
646,Completed,24 minutes,124
647,Cancelled,28 minutes,169
648,Completed,25 minutes,181
649,Completed,20 minutes,450
650,Pending,39 minutes,187
651,Cancelled,18 minutes,198
652,Cancelled,59 minutes,7
653,Completed,47 minutes,3
654,Cancelled,34 minutes,368
655,Completed,19 minutes,10
656,Completed,30 minutes,262
657,Completed,12 minutes,25
658,Completed,46 minutes,314
659,Completed,59 minutes,79
660,Cancelled,60 minutes,195
661,Completed,36 minutes,224
662,Cancelled,53 minutes,171
663,Cancelled,25 minutes,473
664,Completed,33 minutes,262
665,Completed,44 minutes,205
666,Completed,18 minutes,209
667,Cancelled,52 minutes,180
668,Completed,37 minutes,459
669,Pending,25 minutes,242
670,Pending,24 minutes,470
671,Pending,25 minutes,331
672,Pending,35 minutes,472
673,Cancelled,14 minutes,428
674,Pending,27 minutes,454
675,Cancelled,33 minutes,278
676,Completed,48 minutes,314
677,Pending,25 minutes,142
678,Completed,49 minutes,165
679,Pending,50 minutes,55
680,Cancelled,13 minutes,74
681,Cancelled,35 minutes,14
682,Pending,56 minutes,446
683,Pending,37 minutes,474
684,Completed,55 minutes,236
685,Cancelled,39 minutes,83
686,Completed,31 minutes,243
687,Pending,20 minutes,303
688,Pending,58 minutes,258
689,Completed,33 minutes,177
690,Completed,50 minutes,184
691,Pending,50 minutes,266
692,Completed,22 minutes,450
693,Pending,21 minutes,371
694,Cancelled,30 minutes,152
695,Pending,50 minutes,22
696,Pending,45 minutes,221
697,Completed,53 minutes,211
698,Pending,34 minutes,373
699,Completed,32 minutes,69
700,Completed,17 minutes,314
701,Pending,20 minutes,16
702,Pending,46 minutes,204
703,Pending,14 minutes,329
704,Cancelled,55 minutes,349
705,Completed,59 minutes,218
706,Cancelled,56 minutes,284
707,Completed,20 minutes,79
708,Completed,20 minutes,117
709,Completed,43 minutes,70
710,Pending,32 minutes,461
711,Cancelled,57 minutes,148
712,Cancelled,60 minutes,172
713,Cancelled,17 minutes,411
714,Pending,59 minutes,442
715,Pending,20 minutes,176
716,Cancelled,42 minutes,496
717,Pending,44 minutes,356
718,Completed,34 minutes,379
719,Cancelled,45 minutes,157
720,Completed,34 minutes,178
721,Pending,40 minutes,262
722,Pending,36 minutes,209
723,Completed,53 minutes,499
724,Completed,19 minutes,3
725,Cancelled,48 minutes,325
726,Cancelled,43 minutes,55
727,Cancelled,59 minutes,332
728,Cancelled,23 minutes,306
729,Cancelled,48 minutes,263
730,Completed,27 minutes,353
731,Cancelled,49 minutes,87
732,Pending,15 minutes,407
733,Completed,10 minutes,60
734,Pending,56 minutes,247
735,Pending,16 minutes,347
736,Pending,33 minutes,300
737,Cancelled,26 minutes,342
738,Pending,59 minutes,118
739,Completed,45 minutes,283
740,Completed,59 minutes,439
741,Cancelled,20 minutes,14
742,Cancelled,20 minutes,450
743,Cancelled,36 minutes,312
744,Cancelled,23 minutes,225
745,Cancelled,53 minutes,208
746,Pending,11 minutes,301
747,Completed,34 minutes,88
748,Pending,46 minutes,28
749,Pending,15 minutes,330
750,Cancelled,35 minutes,172
751,Completed,42 minutes,448
752,Pending,12 minutes,246
753,Cancelled,16 minutes,138
754,Cancelled,41 minutes,283
755,Cancelled,35 minutes,243
756,Pending,21 minutes,118
757,Cancelled,33 minutes,82
758,Pending,48 minutes,426
759,Completed,39 minutes,36
760,Completed,40 minutes,202
761,Cancelled,36 minutes,285
762,Completed,26 minutes,247
763,Completed,17 minutes,152
764,Completed,33 minutes,416
765,Completed,18 minutes,338
766,Completed,52 minutes,71
767,Cancelled,45 minutes,102
768,Completed,12 minutes,442
769,Pending,45 minutes,359
770,Cancelled,41 minutes,366
771,Cancelled,16 minutes,477
772,Pending,45 minutes,178
773,Pending,16 minutes,352
774,Completed,25 minutes,117
775,Pending,29 minutes,141
776,Completed,10 minutes,254
777,Pending,42 minutes,475
778,Pending,15 minutes,40
779,Pending,46 minutes,217
780,Completed,57 minutes,189
781,Pending,58 minutes,75
782,Completed,28 minutes,480
783,Completed,57 minutes,398
784,Pending,52 minutes,451
785,Pending,28 minutes,197
786,Cancelled,18 minutes,426
787,Completed,35 minutes,182
788,Cancelled,40 minutes,118
789,Cancelled,55 minutes,192
790,Cancelled,32 minutes,222
791,Pending,32 minutes,499
792,Pending,59 minutes,393
793,Cancelled,28 minutes,444
794,Completed,40 minutes,463
795,Pending,17 minutes,229
796,Completed,32 minutes,478
797,Completed,57 minutes,96
798,Pending,41 minutes,118
799,Completed,53 minutes,197
800,Pending,39 minutes,263
801,Pending,46 minutes,425
802,Cancelled,24 minutes,346
803,Pending,42 minutes,160
804,Pending,24 minutes,162
805,Cancelled,53 minutes,1
806,Completed,40 minutes,163
807,Pending,24 minutes,421
808,Pending,13 minutes,295
809,Completed,36 minutes,48
810,Pending,22 minutes,372
811,Pending,21 minutes,58
812,Completed,54 minutes,187
813,Completed,24 minutes,488
814,Completed,10 minutes,196
815,Cancelled,10 minutes,67
816,Completed,48 minutes,311
817,Completed,15 minutes,380
818,Pending,22 minutes,435
819,Completed,43 minutes,460
820,Cancelled,36 minutes,35
821,Cancelled,21 minutes,475
822,Completed,24 minutes,476
823,Pending,34 minutes,244
824,Completed,37 minutes,108
825,Pending,58 minutes,22
826,Cancelled,27 minutes,15
827,Cancelled,32 minutes,361
828,Pending,31 minutes,347
829,Pending,51 minutes,69
830,Cancelled,43 minutes,48
831,Pending,16 minutes,366
832,Completed,27 minutes,13
833,Cancelled,19 minutes,318
834,Cancelled,18 minutes,195
835,Completed,46 minutes,500
836,Cancelled,30 minutes,104
837,Pending,42 minutes,257
838,Completed,45 minutes,55
839,Cancelled,40 minutes,64
840,Cancelled,38 minutes,241
841,Completed,39 minutes,281
842,Pending,18 minutes,214
843,Pending,34 minutes,41
844,Cancelled,42 minutes,172
845,Completed,39 minutes,128
846,Pending,40 minutes,397
847,Pending,11 minutes,229
848,Cancelled,10 minutes,283
849,Pending,58 minutes,397
850,Pending,24 minutes,220
851,Completed,26 minutes,245
852,Pending,19 minutes,117
853,Pending,28 minutes,185
854,Cancelled,41 minutes,307
855,Completed,43 minutes,351
856,Completed,22 minutes,154
857,Cancelled,50 minutes,345
858,Completed,13 minutes,80
859,Pending,12 minutes,172
860,Cancelled,20 minutes,393
861,Pending,34 minutes,348
862,Completed,36 minutes,255
863,Completed,20 minutes,201
864,Completed,60 minutes,486
865,Pending,58 minutes,350
866,Cancelled,22 minutes,371
867,Pending,21 minutes,266
868,Cancelled,55 minutes,436
869,Cancelled,47 minutes,223
870,Completed,50 minutes,353
871,Cancelled,41 minutes,461
872,Cancelled,46 minutes,476
873,Completed,48 minutes,226
874,Completed,25 minutes,250
875,Cancelled,30 minutes,285
876,Cancelled,22 minutes,1
877,Completed,13 minutes,69
878,Completed,38 minutes,448
879,Cancelled,49 minutes,115
880,Cancelled,53 minutes,56
881,Cancelled,37 minutes,474
882,Cancelled,50 minutes,147
883,Cancelled,31 minutes,253
884,Cancelled,22 minutes,84
885,Pending,45 minutes,432
886,Pending,55 minutes,225
887,Pending,38 minutes,340
888,Pending,39 minutes,35
889,Completed,24 minutes,387
890,Completed,58 minutes,80
891,Pending,39 minutes,363
892,Cancelled,23 minutes,457
893,Pending,55 minutes,24
894,Completed,35 minutes,107
895,Completed,36 minutes,300
896,Cancelled,60 minutes,211
897,Cancelled,23 minutes,325
898,Completed,52 minutes,70
899,Cancelled,51 minutes,465
900,Pending,29 minutes,195
901,Cancelled,44 minutes,34
902,Completed,48 minutes,497
903,Cancelled,41 minutes,386
904,Completed,23 minutes,215
905,Cancelled,58 minutes,185
906,Pending,15 minutes,382
907,Completed,59 minutes,414
908,Completed,49 minutes,496
909,Completed,47 minutes,443
910,Cancelled,33 minutes,79
911,Pending,26 minutes,57
912,Cancelled,38 minutes,143
913,Completed,34 minutes,197
914,Cancelled,42 minutes,475
915,Pending,24 minutes,422
916,Cancelled,26 minutes,480
917,Completed,12 minutes,80
918,Pending,50 minutes,300
919,Cancelled,41 minutes,33
920,Cancelled,40 minutes,223
921,Pending,34 minutes,374
922,Completed,17 minutes,223
923,Cancelled,52 minutes,480
924,Completed,58 minutes,73
925,Completed,17 minutes,362
926,Pending,25 minutes,17
927,Cancelled,27 minutes,136
928,Pending,17 minutes,177
929,Pending,33 minutes,316
930,Cancelled,22 minutes,382
931,Cancelled,44 minutes,31
932,Pending,42 minutes,283
933,Completed,20 minutes,465
934,Pending,11 minutes,327
935,Pending,31 minutes,71
936,Pending,16 minutes,315
937,Cancelled,36 minutes,490
938,Completed,26 minutes,293
939,Completed,43 minutes,39
940,Cancelled,18 minutes,249
941,Completed,43 minutes,431
942,Completed,32 minutes,50
943,Cancelled,55 minutes,112
944,Completed,54 minutes,340
945,Completed,35 minutes,104
946,Cancelled,54 minutes,382
947,Pending,32 minutes,81
948,Pending,56 minutes,499
949,Pending,45 minutes,437
950,Completed,23 minutes,239
951,Pending,18 minutes,142
952,Cancelled,52 minutes,398
953,Completed,15 minutes,339
954,Pending,29 minutes,447
955,Cancelled,60 minutes,487
