order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
87,4284,84,Lose,2024-07-29,12:44:00,Pending,305.04
88,2463,80,These,2024-02-14,14:30:00,Completed,231.85
89,3004,99,Country,2024-01-27,13:05:00,Pending,267.45
90,2912,58,Use,2023-08-30,19:22:00,Cancelled,316.66
91,4008,100,It,2023-07-08,15:55:00,Pending,193.0
92,4710,73,We,2023-10-04,18:14:00,Completed,554.71
93,140,98,Eye,2023-06-11,21:02:00,Completed,336.41
94,1997,69,Reveal,2024-07-30,14:04:00,Pending,335.98
95,4950,51,Computer,2025-02-14,12:15:00,Cancelled,303.31
96,534,67,Space,2023-12-08,10:19:00,Cancelled,280.23
97,4250,65,Career,2025-01-29,15:38:00,Completed,312.18
98,2038,93,Job,2025-03-05,11:27:00,Pending,115.14
99,797,81,Democrat,2025-03-10,16:17:00,Completed,258.65
100,860,75,Quickly,2024-07-02,12:51:00,Cancelled,450.9
101,3434,71,Consider,2024-08-17,17:17:00,Completed,312.89
102,1515,51,Join,2024-01-20,11:18:00,Pending,262.46
103,3437,19,Between,2023-10-27,15:24:00,Completed,291.69
104,3299,26,Example,2023-08-14,11:36:00,Completed,258.94
105,4016,91,Physical,2025-03-25,16:26:00,Pending,436.68
106,4178,63,Entire,2025-03-05,17:25:00,Completed,325.67
107,2671,35,Tell,2024-06-06,12:47:00,Cancelled,386.26
108,1896,84,Dinner,2024-10-30,13:00:00,Completed,291.4
109,3876,23,When,2023-10-07,13:29:00,Pending,467.71
110,3185,20,Rich,2023-05-21,12:47:00,Cancelled,495.27
111,1336,26,American,2023-10-14,11:54:00,Completed,557.19
112,2832,60,Service,2024-03-31,12:57:00,Cancelled,140.4
113,4697,27,Fall,2024-09-12,17:12:00,Pending,550.0
114,1042,77,Cover,2023-12-03,18:49:00,Cancelled,289.7
115,1524,30,Organization,2023-09-09,18:20:00,Pending,294.66
116,2051,21,Large,2024-10-19,16:58:00,Cancelled,369.54
117,3941,23,Read,2024-02-05,11:57:00,Cancelled,353.69
118,2080,57,Deep,2024-09-28,18:48:00,Pending,409.78
119,1137,38,Hard,2025-01-23,19:08:00,Pending,598.59
120,254,37,Image,2023-12-05,18:49:00,Completed,395.09
121,4188,33,More,2024-01-24,13:58:00,Completed,458.94
122,3831,100,Rest,2025-01-18,19:19:00,Completed,396.28
123,4655,47,However,2023-11-03,10:44:00,Cancelled,458.86
124,1298,29,Industry,2023-11-20,14:01:00,Cancelled,585.59
125,2624,34,Pressure,2023-08-21,10:37:00,Completed,406.2
126,4251,40,Maintain,2025-03-05,11:07:00,Completed,397.35
127,1528,52,Finally,2024-06-07,15:22:00,Completed,229.43
128,2459,90,Old,2024-12-24,15:28:00,Cancelled,144.83
129,2664,4,Deal,2025-02-10,20:04:00,Cancelled,246.2
130,3830,60,Ground,2023-11-01,11:39:00,Pending,488.76
131,400,3,When,2023-11-30,12:22:00,Pending,188.36
132,928,1,Dog,2024-02-01,14:04:00,Pending,475.96
133,3379,81,Machine,2024-08-20,19:04:00,Completed,273.07
134,4967,68,Glass,2024-08-09,21:46:00,Cancelled,382.59
135,4112,49,Popular,2024-03-05,12:24:00,Pending,130.3
136,1759,81,Word,2023-06-16,16:28:00,Cancelled,237.3
137,3489,93,Everyone,2025-03-24,18:11:00,Completed,428.01
138,4044,12,Government,2024-04-26,20:44:00,Completed,360.1
139,2874,96,Program,2024-06-23,21:56:00,Completed,497.17
140,2719,100,Available,2024-04-03,17:55:00,Pending,164.21
141,3269,54,Finally,2024-07-16,12:30:00,Completed,488.64
142,3331,41,Member,2024-08-17,10:58:00,Cancelled,456.34
143,4823,65,Social,2024-02-06,20:59:00,Cancelled,429.5
144,4499,58,Have,2024-12-19,12:24:00,Completed,176.46
145,3321,15,Truth,2023-09-13,15:59:00,Cancelled,211.12
146,3056,4,Will,2025-02-05,11:46:00,Cancelled,451.87
147,3005,97,Trial,2025-01-13,18:39:00,Pending,122.49
148,4440,55,Partner,2024-08-17,14:39:00,Pending,397.63
149,3545,13,Paper,2024-04-17,11:36:00,Completed,561.25
150,4984,45,Five,2024-08-31,17:08:00,Completed,315.29
151,4555,84,Business,2023-06-03,21:36:00,Completed,544.82
152,2473,88,Thank,2024-02-01,20:46:00,Completed,496.72
153,3187,20,Executive,2024-11-14,17:02:00,Completed,244.04
154,994,67,Individual,2024-06-24,21:44:00,Pending,402.63
155,259,100,Effect,2024-05-12,16:54:00,Pending,155.43
156,1881,21,Discussion,2025-05-01,15:57:00,Completed,560.9
157,1928,64,Effort,2024-03-10,15:41:00,Cancelled,322.06
158,3708,37,Professional,2024-07-04,17:43:00,Completed,107.76
159,3984,35,Environmental,2024-05-29,21:22:00,Cancelled,243.81
160,4910,12,Improve,2025-02-02,21:30:00,Pending,582.63
161,1839,52,Difference,2025-04-26,14:52:00,Pending,273.25
162,2756,8,Score,2024-07-08,17:37:00,Pending,422.8
163,2631,32,Safe,2023-08-03,14:29:00,Pending,439.36
164,2898,33,Language,2023-11-14,14:28:00,Pending,362.85
165,3924,80,Environmental,2023-06-04,21:45:00,Pending,309.78
166,865,94,Fill,2024-03-21,22:00:00,Completed,596.99
167,2553,30,Weight,2024-03-24,13:42:00,Cancelled,381.05
168,1460,13,Glass,2023-07-29,18:17:00,Cancelled,271.1
169,4970,48,New,2024-03-01,16:03:00,Pending,337.21
170,2488,93,Off,2024-01-16,16:17:00,Completed,307.15
171,328,65,Newspaper,2025-03-21,15:33:00,Completed,373.69
172,4190,86,Good,2024-07-29,12:14:00,Pending,296.55
173,1252,51,Majority,2024-10-15,21:31:00,Cancelled,252.17
174,1126,25,Ground,2024-05-07,12:33:00,Cancelled,520.12
175,3270,80,Deal,2023-10-01,19:08:00,Cancelled,107.25
176,878,36,Some,2024-09-06,18:05:00,Pending,421.69
177,1953,21,Across,2024-07-18,12:26:00,Cancelled,429.81
178,350,48,Style,2024-05-14,16:23:00,Pending,468.94
179,534,2,Industry,2023-12-14,15:21:00,Completed,587.67
180,476,28,First,2023-07-03,12:10:00,Completed,301.16
181,2212,80,Black,2023-10-18,19:32:00,Completed,541.93
182,3339,99,Pass,2023-11-30,10:38:00,Cancelled,206.26
183,3907,1,Every,2024-02-12,12:25:00,Pending,267.58
184,3577,43,On,2023-06-20,21:42:00,Cancelled,421.07
185,3735,95,Single,2024-10-20,15:32:00,Cancelled,457.97
186,4173,2,Floor,2023-05-26,19:23:00,Cancelled,360.87
187,1937,50,Step,2023-06-17,12:55:00,Completed,297.8
188,388,99,Nice,2024-02-24,19:39:00,Pending,226.26
189,1948,88,Talk,2024-03-18,10:51:00,Pending,305.67
190,467,50,Day,2024-05-19,13:37:00,Pending,309.55
191,166,63,Cover,2023-09-13,13:45:00,Completed,422.58
192,648,100,Hold,2024-10-08,11:14:00,Cancelled,134.69
193,574,94,Nice,2023-07-09,10:43:00,Completed,380.61
194,2554,19,First,2023-08-14,18:05:00,Completed,203.26
195,1861,42,Color,2025-01-13,20:20:00,Cancelled,281.1
196,612,33,List,2023-05-30,20:43:00,Cancelled,351.93
197,919,16,Image,2025-05-02,12:07:00,Pending,223.7
198,2539,67,Make,2024-04-12,13:08:00,Pending,336.54
199,1727,92,Hit,2023-05-23,18:27:00,Cancelled,433.08
200,3602,49,Scene,2024-02-22,10:03:00,Completed,282.61
201,2298,99,Sure,2023-08-04,11:43:00,Completed,109.35
202,1492,80,Station,2024-03-01,19:46:00,Pending,186.03
203,2932,37,Defense,2024-07-26,10:39:00,Completed,519.12
204,3729,65,Financial,2023-12-10,10:58:00,Completed,143.14
205,4434,2,Listen,2024-04-22,13:45:00,Completed,586.03
206,213,46,Scientist,2023-06-17,21:14:00,Completed,102.66
207,4682,48,Might,2023-05-22,12:00:00,Cancelled,502.42
208,4309,71,Feel,2024-08-24,15:43:00,Cancelled,216.6
209,340,100,Change,2024-12-09,20:57:00,Cancelled,114.56
210,4019,61,Manage,2024-01-04,10:58:00,Completed,540.56
211,4458,47,Road,2023-10-29,16:59:00,Cancelled,187.75
212,1661,67,Foot,2023-09-28,13:42:00,Pending,556.13
213,4420,15,Around,2023-06-02,11:42:00,Pending,575.94
214,187,75,Keep,2024-03-27,12:36:00,Completed,528.62
215,2549,29,Trial,2023-09-24,18:05:00,Cancelled,468.93
216,2318,20,Red,2024-05-08,11:13:00,Pending,479.17
217,4332,98,Smile,2025-05-06,18:22:00,Completed,483.33
218,329,85,Off,2023-08-24,16:45:00,Completed,388.54
219,4045,65,Always,2024-11-04,15:44:00,Cancelled,386.12
220,3791,48,Policy,2024-10-07,15:24:00,Completed,477.27
221,169,27,Meeting,2024-07-23,15:39:00,Pending,433.47
222,4504,60,A,2024-01-20,15:46:00,Pending,178.42
223,4835,20,Professional,2023-06-30,20:24:00,Pending,208.21
224,3089,100,Process,2024-01-29,15:59:00,Pending,477.85
225,3040,99,Official,2023-10-13,15:43:00,Completed,105.5
226,3092,75,Article,2024-07-25,18:43:00,Pending,449.07
227,4220,82,Staff,2024-12-21,19:23:00,Completed,220.45
228,2422,27,Side,2024-08-20,12:01:00,Cancelled,495.01
229,3876,60,Her,2023-12-26,14:30:00,Pending,231.39
230,3578,55,Reach,2023-07-23,15:59:00,Completed,533.83
231,379,34,Year,2025-02-24,14:30:00,Completed,404.87
232,3466,80,Structure,2024-12-24,17:47:00,Pending,464.25
233,4468,70,My,2023-11-12,15:00:00,Cancelled,567.58
234,3536,73,Sell,2025-05-11,14:14:00,Completed,335.43
235,687,40,Effort,2025-05-02,18:28:00,Completed,183.46
236,2583,38,Pass,2025-01-07,21:30:00,Pending,518.31
237,2555,99,Across,2024-01-15,20:20:00,Completed,213.71
238,3281,20,Alone,2023-12-16,13:59:00,Completed,588.88
239,41,9,Beat,2023-12-11,21:42:00,Cancelled,140.7
240,1468,64,From,2025-03-20,21:58:00,Pending,448.9
241,4930,17,Benefit,2024-08-24,17:04:00,Completed,141.74
242,2493,34,Among,2024-08-11,20:33:00,Cancelled,341.62
243,1651,11,Threat,2025-02-08,19:36:00,Completed,460.44
244,797,35,Thought,2023-08-07,12:30:00,Cancelled,200.8
245,2011,27,Itself,2024-04-23,19:42:00,Completed,417.16
246,4781,27,Natural,2023-10-27,20:24:00,Cancelled,205.05
247,581,78,Certainly,2024-05-21,16:45:00,Cancelled,309.41
248,731,47,Work,2023-10-27,19:00:00,Cancelled,132.97
249,3201,4,Finally,2024-12-04,12:46:00,Completed,412.51
250,658,96,Name,2023-10-17,10:23:00,Pending,542.46
251,3419,97,Try,2024-04-06,19:26:00,Pending,391.7
252,1642,12,Tonight,2024-05-09,20:24:00,Cancelled,294.89
253,3862,75,To,2024-07-01,15:37:00,Pending,160.32
254,4650,79,She,2024-12-27,15:08:00,Pending,108.99
255,1017,100,Own,2023-08-25,10:18:00,Pending,385.0
256,2628,16,Member,2024-09-17,19:38:00,Cancelled,576.97
257,821,91,Well,2024-10-11,17:58:00,Cancelled,335.16
258,4031,30,Buy,2024-07-28,10:04:00,Cancelled,222.63
259,2801,29,Interest,2024-03-09,15:40:00,Pending,161.83
260,1386,67,New,2024-08-22,19:31:00,Cancelled,303.96
261,530,53,Need,2024-03-13,17:45:00,Completed,170.05
262,1507,69,Black,2023-10-10,11:59:00,Cancelled,350.13
263,3730,73,Family,2023-07-26,15:25:00,Pending,228.42
264,178,29,Enough,2023-08-29,19:49:00,Pending,476.63
265,2380,74,Sense,2023-11-15,14:16:00,Cancelled,333.95
266,4254,32,Program,2023-11-17,17:26:00,Pending,541.99
267,2159,94,Environment,2025-04-09,21:55:00,Pending,426.16
268,2719,25,Fish,2024-06-18,11:44:00,Cancelled,215.88
269,3820,20,Pm,2023-08-29,10:43:00,Completed,220.34
270,3449,72,Natural,2024-06-02,13:38:00,Pending,132.3
271,91,54,Next,2024-03-31,16:54:00,Pending,182.65
272,4674,56,Plan,2025-04-24,20:45:00,Completed,405.57
273,1446,94,Agreement,2024-07-24,11:24:00,Completed,124.78
274,2196,71,Dream,2024-04-26,13:15:00,Completed,246.24
275,4860,90,Well,2024-11-18,14:39:00,Cancelled,452.39
276,160,38,East,2024-10-13,21:29:00,Completed,483.54
277,2549,94,Word,2023-08-27,20:41:00,Pending,381.75
278,2151,1,Report,2023-10-06,14:55:00,Completed,575.45
279,1345,83,Ten,2024-01-02,17:52:00,Cancelled,119.45
280,4510,85,Learn,2024-05-05,18:19:00,Completed,239.74
281,281,61,Even,2024-04-29,15:08:00,Cancelled,402.12
282,233,24,Clearly,2023-12-20,11:53:00,Completed,329.81
283,1576,91,Relate,2024-08-04,12:11:00,Pending,356.19
284,5000,53,Teach,2024-02-28,10:54:00,Completed,237.27
285,4061,6,Significant,2025-01-30,18:20:00,Pending,582.14
286,2454,4,Another,2024-01-30,20:00:00,Pending,223.94
287,4741,66,Picture,2025-03-17,18:44:00,Cancelled,439.96
288,1458,67,Water,2023-08-23,16:37:00,Completed,402.29
289,2800,94,Card,2023-07-04,16:13:00,Cancelled,380.6
290,2964,96,Test,2024-03-19,16:08:00,Cancelled,282.2
291,2646,20,Speak,2023-05-19,20:39:00,Cancelled,381.97
292,4940,1,Bill,2025-03-07,16:42:00,Completed,319.98
293,1915,91,House,2024-07-25,18:33:00,Pending,291.48
294,3244,32,Interview,2024-04-19,19:54:00,Pending,430.32
295,172,73,Cost,2024-07-30,17:54:00,Pending,148.02
296,3608,100,Democrat,2023-09-26,19:08:00,Pending,454.32
297,2618,91,Mean,2024-11-12,14:33:00,Completed,300.19
298,4285,51,Town,2025-04-03,16:04:00,Completed,567.45
299,4979,57,All,2024-10-31,15:39:00,Completed,353.85
300,64,35,Less,2023-12-04,19:40:00,Completed,458.29
301,3979,4,Real,2025-04-20,19:13:00,Cancelled,209.41
302,2961,57,Strategy,2023-11-12,19:07:00,Completed,106.8
303,2152,49,Hair,2023-07-27,17:02:00,Pending,361.54
304,1723,40,There,2024-11-14,10:19:00,Completed,178.17
305,2911,62,Age,2024-10-07,21:23:00,Completed,299.93
306,769,27,Affect,2023-10-22,11:03:00,Cancelled,409.79
307,3685,30,Door,2024-12-18,11:43:00,Pending,491.82
308,1153,63,Become,2024-09-18,14:18:00,Cancelled,532.66
309,2950,98,Animal,2025-05-10,10:12:00,Completed,218.09
310,3557,95,Present,2025-04-07,17:59:00,Cancelled,434.51
311,3627,6,Add,2024-09-20,16:33:00,Completed,323.98
312,545,42,Think,2023-10-16,16:59:00,Cancelled,476.54
313,1118,98,Especially,2023-05-29,13:03:00,Completed,444.39
314,3559,93,Feeling,2023-07-31,21:10:00,Cancelled,203.28
315,3350,39,Later,2025-03-17,21:17:00,Pending,503.83
316,228,31,Church,2024-11-18,11:36:00,Completed,388.28
317,3785,77,Nation,2024-04-20,13:12:00,Pending,551.52
318,93,34,Child,2024-08-05,12:12:00,Completed,429.93
319,2342,88,Sing,2025-04-12,11:03:00,Completed,238.68
320,2315,73,Rock,2023-10-05,14:25:00,Completed,391.91
321,682,49,First,2024-11-13,17:00:00,Cancelled,349.58
322,3014,76,Gun,2023-09-14,14:44:00,Cancelled,151.33
323,1341,74,Alone,2023-09-03,15:14:00,Cancelled,417.09
324,67,21,Your,2025-04-27,19:27:00,Pending,503.12
325,4336,31,Game,2024-03-22,17:15:00,Completed,577.93
326,1234,80,News,2024-01-29,12:01:00,Cancelled,321.49
327,4421,95,Sing,2023-10-14,19:20:00,Cancelled,531.46
328,2489,22,Space,2023-08-31,20:53:00,Completed,452.06
329,4990,78,To,2024-06-06,16:52:00,Pending,491.17
330,2118,98,Still,2024-08-19,20:40:00,Cancelled,438.66
331,2938,74,Condition,2023-05-19,11:56:00,Pending,292.81
332,1613,97,Throw,2024-02-28,16:16:00,Cancelled,482.83
333,4722,48,Kind,2023-10-28,15:52:00,Cancelled,198.86
334,4886,32,Dark,2023-09-15,15:53:00,Completed,449.04
335,4353,49,Right,2025-02-11,11:31:00,Pending,342.3
336,1539,51,Discover,2024-11-05,18:28:00,Pending,451.34
337,2257,6,Protect,2024-03-16,13:01:00,Cancelled,512.23
338,906,73,Dark,2024-07-18,17:05:00,Cancelled,210.74
339,3238,47,Lose,2024-08-29,18:29:00,Cancelled,556.29
340,240,22,Game,2024-03-13,18:19:00,Cancelled,276.11
341,2647,98,Anything,2024-08-11,13:46:00,Completed,407.36
342,2400,92,Fall,2023-12-01,10:41:00,Pending,597.54
343,4847,47,Site,2024-07-11,19:15:00,Completed,479.01
344,740,69,Spend,2024-11-12,18:53:00,Completed,353.55
345,3170,12,Candidate,2023-08-03,16:52:00,Cancelled,466.86
346,4291,94,Mission,2024-08-04,13:37:00,Cancelled,280.31
347,221,65,Step,2024-05-02,20:59:00,Pending,351.02
348,3653,68,Computer,2023-06-15,18:43:00,Cancelled,385.3
349,1603,5,Different,2023-10-23,21:58:00,Completed,127.66
350,2348,67,Type,2025-02-12,16:28:00,Pending,266.52
351,3134,15,Detail,2024-09-15,17:00:00,Pending,245.88
352,1727,1,Want,2024-09-23,19:39:00,Pending,302.3
353,4398,27,Try,2025-01-29,20:57:00,Pending,132.58
354,3319,62,Far,2024-01-20,19:31:00,Completed,295.55
355,1918,2,Follow,2023-10-30,21:21:00,Completed,368.1
356,4417,78,Analysis,2024-11-13,14:07:00,Cancelled,204.7
357,2406,66,Risk,2024-04-03,21:08:00,Pending,221.66
358,773,25,Mean,2023-09-22,18:38:00,Cancelled,376.25
359,3042,28,Partner,2023-10-17,18:35:00,Pending,370.38
360,2551,84,Act,2023-11-28,21:30:00,Completed,145.21
361,2476,72,People,2023-10-05,14:28:00,Pending,300.04
362,3958,60,Send,2023-08-10,20:17:00,Cancelled,311.44
363,3001,73,Guy,2023-07-26,19:41:00,Cancelled,135.84
364,3287,79,To,2024-03-04,14:27:00,Completed,552.79
365,359,93,Lot,2024-08-04,21:47:00,Pending,466.47
366,4280,13,Foot,2023-10-29,11:10:00,Completed,324.76
367,3142,26,Tonight,2024-12-26,16:23:00,Pending,230.58
368,1095,63,High,2024-01-19,12:50:00,Pending,486.23
369,191,77,Blue,2024-07-18,14:44:00,Pending,455.65
370,1070,5,Year,2024-04-24,18:48:00,Pending,295.93
371,155,25,Middle,2025-01-17,15:43:00,Pending,564.62
372,3148,42,Forward,2023-07-05,14:39:00,Completed,547.84
373,4027,42,Community,2025-01-17,15:07:00,Cancelled,258.07
374,118,1,Reason,2025-01-28,14:21:00,Completed,117.49
375,970,99,Season,2024-06-14,16:29:00,Cancelled,567.96
376,1444,100,Yet,2023-11-20,12:51:00,Cancelled,498.15
377,942,81,Manage,2025-02-28,14:55:00,Completed,234.67
378,1128,93,Great,2024-02-09,16:06:00,Completed,371.77
379,1893,74,Speak,2024-11-30,11:00:00,Cancelled,423.04
380,3114,8,Take,2023-10-04,14:29:00,Cancelled,323.41
381,2590,48,Former,2024-02-27,21:45:00,Pending,337.92
382,877,40,Car,2023-08-15,20:32:00,Completed,225.64
383,954,69,Whether,2023-11-03,21:31:00,Completed,124.05
384,4683,95,Off,2025-01-28,11:06:00,Pending,263.56
385,4302,100,Leave,2023-09-20,21:49:00,Pending,336.27
386,3618,74,Garden,2024-04-05,15:34:00,Completed,584.67
387,3234,7,Answer,2024-05-17,12:19:00,Cancelled,492.56
388,4769,27,Moment,2024-08-26,14:56:00,Cancelled,390.88
389,1554,62,Ten,2023-09-10,16:07:00,Pending,445.9
390,4005,54,Skin,2024-10-09,13:08:00,Cancelled,522.63
391,816,88,Thank,2024-08-16,21:55:00,Cancelled,369.65
392,3842,9,Scientist,2024-01-31,19:51:00,Completed,228.77
393,3351,27,Out,2025-04-04,12:01:00,Pending,387.63
394,1854,59,Myself,2024-12-24,20:24:00,Cancelled,501.95
395,1852,75,Attention,2025-02-24,14:20:00,Completed,443.98
396,2487,53,Wife,2025-03-15,16:34:00,Pending,522.46
397,2559,1,Tonight,2024-09-11,13:58:00,Pending,299.9
398,1767,92,Agree,2025-01-20,11:10:00,Pending,100.37
399,3594,42,Cost,2024-04-16,10:03:00,Cancelled,421.84
400,668,8,Surface,2024-07-01,14:39:00,Pending,547.85
401,3597,49,Protect,2024-09-17,19:16:00,Pending,419.92
402,954,2,Guy,2024-05-25,20:29:00,Cancelled,308.13
403,1725,72,Country,2024-09-28,14:32:00,Pending,507.41
404,4205,42,Next,2025-02-13,19:42:00,Pending,355.91
405,1477,7,Stop,2024-08-12,17:47:00,Pending,211.41
406,1722,62,Too,2023-11-14,15:29:00,Cancelled,382.44
407,3958,6,Policy,2023-10-06,15:50:00,Cancelled,392.03
408,2891,33,Wrong,2024-08-31,20:27:00,Cancelled,251.01
409,4694,83,Such,2023-10-26,21:53:00,Pending,365.99
410,856,12,Rich,2024-01-19,19:35:00,Completed,412.22
411,4706,94,Ever,2023-11-30,18:03:00,Pending,144.04
412,1476,26,House,2024-11-18,21:03:00,Pending,189.54
413,4524,33,News,2024-09-07,16:31:00,Completed,361.11
414,2128,60,Production,2023-06-20,10:34:00,Cancelled,432.98
415,2650,23,Account,2024-04-20,12:24:00,Cancelled,367.05
416,3733,82,Drive,2023-06-29,13:26:00,Completed,446.67
417,182,24,Reality,2024-12-25,12:42:00,Pending,156.56
418,4519,36,Section,2023-05-18,16:26:00,Completed,491.91
419,284,24,Suggest,2023-10-30,13:48:00,Completed,130.84
420,2111,65,Within,2023-11-07,18:16:00,Pending,109.66
421,4204,83,This,2024-08-09,11:52:00,Cancelled,411.79
422,4803,32,Weight,2023-08-11,12:40:00,Cancelled,217.29
423,515,82,Major,2024-08-24,17:38:00,Pending,121.79
424,1298,55,Above,2023-11-19,20:46:00,Completed,524.65
425,1539,94,Middle,2024-10-28,18:12:00,Cancelled,254.32
426,4155,64,Staff,2024-12-02,10:17:00,Pending,507.87
427,3184,72,Method,2023-06-27,15:01:00,Pending,594.48
428,2374,99,Any,2024-09-15,20:13:00,Completed,537.1
429,2476,3,Lead,2023-08-21,20:50:00,Completed,151.63
430,790,19,Between,2024-09-02,20:40:00,Completed,247.96
431,394,80,Often,2024-05-10,13:48:00,Cancelled,462.02
432,3741,89,Third,2023-07-27,10:59:00,Pending,512.5
433,2497,60,Wide,2023-08-27,14:13:00,Cancelled,357.04
434,3166,80,Certain,2024-01-31,15:34:00,Pending,137.08
